GEO_ID,P001001,P001003,P001004,P001005,P001006,P001007,P001008,P001009
1000000US500019602001056,18,17,0,1,0,0,0,0
1000000US500019602001057,0,0,0,0,0,0,0,0
1000000US500019602001058,4,4,0,0,0,0,0,0
1000000US500019602001059,0,0,0,0,0,0,0,0
1000000US500019602001060,72,72,0,0,0,0,0,0
1000000US500019602001061,0,0,0,0,0,0,0,0
1000000US500019602001062,0,0,0,0,0,0,0,0
1000000US500019602001063,4,4,0,0,0,0,0,0
1000000US500019602001064,7,7,0,0,0,0,0,0
1000000US500019602001065,4,4,0,0,0,0,0,0
1000000US500019602001066,0,0,0,0,0,0,0,0
1000000US500019602001067,0,0,0,0,0,0,0,0
1000000US500019602001068,0,0,0,0,0,0,0,0
1000000US500019602001069,0,0,0,0,0,0,0,0
1000000US500019602001070,0,0,0,0,0,0,0,0
1000000US500019602002000,54,52,0,0,1,0,0,1
1000000US500019602002001,5,5,0,0,0,0,0,0
1000000US500019602002002,6,6,0,0,0,0,0,0
1000000US500019602002003,3,3,0,0,0,0,0,0
1000000US500019602002004,11,11,0,0,0,0,0,0
1000000US500019602002005,0,0,0,0,0,0,0,0
1000000US500019602002006,37,37,0,0,0,0,0,0
1000000US500019602002007,5,5,0,0,0,0,0,0
1000000US500019602002008,5,5,0,0,0,0,0,0
1000000US500019602002009,0,0,0,0,0,0,0,0
1000000US500019602002010,0,0,0,0,0,0,0,0
1000000US500019602002011,0,0,0,0,0,0,0,0
1000000US500019602002012,0,0,0,0,0,0,0,0
1000000US500019602002013,4,4,0,0,0,0,0,0
1000000US500019602002014,23,23,0,0,0,0,0,0
1000000US500019602002015,0,0,0,0,0,0,0,0
1000000US500019602002016,27,27,0,0,0,0,0,0
1000000US500019602002017,8,8,0,0,0,0,0,0
1000000US500019602002018,0,0,0,0,0,0,0,0
1000000US500019602002019,0,0,0,0,0,0,0,0
1000000US500019602002020,50,49,0,0,0,0,0,1
1000000US500019602002021,0,0,0,0,0,0,0,0
1000000US500019602002022,0,0,0,0,0,0,0,0
1000000US500019602002023,33,33,0,0,0,0,0,0
1000000US500019602002024,14,14,0,0,0,0,0,0
1000000US500019602002025,0,0,0,0,0,0,0,0
1000000US500019602002026,35,35,0,0,0,0,0,0
1000000US500019602002027,11,10,0,0,0,0,0,1
1000000US500019602002028,5,3,0,0,0,0,0,2
1000000US500019602002029,39,39,0,0,0,0,0,0
1000000US500019602002030,17,17,0,0,0,0,0,0
1000000US500019602002031,0,0,0,0,0,0,0,0
1000000US500019602002032,0,0,0,0,0,0,0,0
1000000US500019602002033,76,73,1,2,0,0,0,0
1000000US500019602002034,0,0,0,0,0,0,0,0
1000000US500019602002035,0,0,0,0,0,0,0,0
1000000US500019602002036,0,0,0,0,0,0,0,0
1000000US500019602002037,0,0,0,0,0,0,0,0
1000000US500019602002038,0,0,0,0,0,0,0,0
1000000US500019602002039,14,12,0,0,0,0,0,2
1000000US500019602002040,64,63,0,0,1,0,0,0
1000000US500019602002041,0,0,0,0,0,0,0,0
1000000US500019602002042,0,0,0,0,0,0,0,0
1000000US500019602002043,0,0,0,0,0,0,0,0
1000000US500019602002044,0,0,0,0,0,0,0,0
1000000US500019602002045,41,40,1,0,0,0,0,0
1000000US500019602002046,0,0,0,0,0,0,0,0
1000000US500019602002047,12,12,0,0,0,0,0,0
1000000US500019602002048,11,11,0,0,0,0,0,0
1000000US500019602002049,0,0,0,0,0,0,0,0
1000000US500019602002050,0,0,0,0,0,0,0,0
1000000US500019602002051,36,31,4,0,0,0,0,1
1000000US500019602002052,0,0,0,0,0,0,0,0
1000000US500019602002053,87,85,0,1,1,0,0,0
1000000US500019602002054,29,27,0,0,0,0,2,0
1000000US500019602002055,28,28,0,0,0,0,0,0
1000000US500019602002056,25,25,0,0,0,0,0,0
1000000US500019602002057,0,0,0,0,0,0,0,0
1000000US500019602002058,0,0,0,0,0,0,0,0
1000000US500019602002059,15,14,0,0,0,0,0,1
1000000US500019602002060,10,10,0,0,0,0,0,0
1000000US500019602002061,7,7,0,0,0,0,0,0
1000000US500019602002062,0,0,0,0,0,0,0,0
1000000US500019602002063,0,0,0,0,0,0,0,0
1000000US500019602002064,91,91,0,0,0,0,0,0
1000000US500019602002065,6,5,0,0,0,0,0,1
1000000US500019602002066,0,0,0,0,0,0,0,0
1000000US500019602002067,14,14,0,0,0,0,0,0
1000000US500019602002068,49,49,0,0,0,0,0,0
1000000US500019602002069,0,0,0,0,0,0,0,0
1000000US500019602002070,13,13,0,0,0,0,0,0
1000000US500019602002071,46,46,0,0,0,0,0,0
1000000US500019602002072,43,43,0,0,0,0,0,0
1000000US500019602002073,17,12,0,5,0,0,0,0
1000000US500019602002074,0,0,0,0,0,0,0,0
1000000US500019602002075,0,0,0,0,0,0,0,0
1000000US500019602002076,0,0,0,0,0,0,0,0
1000000US500019602002077,21,18,3,0,0,0,0,0
1000000US500019602002078,0,0,0,0,0,0,0,0
1000000US500019602002079,3,3,0,0,0,0,0,0
1000000US500019602002080,0,0,0,0,0,0,0,0
1000000US500019602002081,8,8,0,0,0,0,0,0
1000000US500019602002082,0,0,0,0,0,0,0,0
1000000US500019602002083,0,0,0,0,0,0,0,0
1000000US500019602002084,0,0,0,0,0,0,0,0
1000000US500019602002085,19,19,0,0,0,0,0,0
1000000US500019602002086,47,46,0,0,1,0,0,0
1000000US500019602002087,0,0,0,0,0,0,0,0
1000000US500019602002088,0,0,0,0,0,0,0,0
1000000US500019602002089,0,0,0,0,0,0,0,0
1000000US500019602002090,21,14,0,0,4,0,3,0
1000000US500019602002091,0,0,0,0,0,0,0,0
1000000US500019602002092,0,0,0,0,0,0,0,0
1000000US500019602002093,0,0,0,0,0,0,0,0
1000000US500019602002094,10,9,0,1,0,0,0,0
1000000US500019602002095,5,5,0,0,0,0,0,0
1000000US500019602002096,0,0,0,0,0,0,0,0
1000000US500019602002097,0,0,0,0,0,0,0,0
1000000US500019602002098,0,0,0,0,0,0,0,0
1000000US500019602002099,0,0,0,0,0,0,0,0
1000000US500019602002100,0,0,0,0,0,0,0,0
1000000US500019602002101,0,0,0,0,0,0,0,0
1000000US500019602002102,0,0,0,0,0,0,0,0
1000000US500019602002103,0,0,0,0,0,0,0,0
1000000US500019602002104,4,4,0,0,0,0,0,0
1000000US500019602002105,0,0,0,0,0,0,0,0
1000000US500019602002106,2,1,0,0,0,0,0,1
1000000US500019602002107,0,0,0,0,0,0,0,0
1000000US500019602002108,0,0,0,0,0,0,0,0
1000000US500019602002109,0,0,0,0,0,0,0,0
1000000US500019602002110,0,0,0,0,0,0,0,0
1000000US500019602002111,0,0,0,0,0,0,0,0
1000000US500019602002112,28,28,0,0,0,0,0,0
1000000US500019602002113,0,0,0,0,0,0,0,0
1000000US500019602002114,32,32,0,0,0,0,0,0
1000000US500019602002115,10,4,0,0,6,0,0,0
1000000US500019602002116,0,0,0,0,0,0,0,0
1000000US500019602002117,0,0,0,0,0,0,0,0
1000000US500019602002118,39,39,0,0,0,0,0,0
1000000US500019602002119,0,0,0,0,0,0,0,0
1000000US500019602002120,0,0,0,0,0,0,0,0
1000000US500019602002121,0,0,0,0,0,0,0,0
1000000US500019602002122,0,0,0,0,0,0,0,0
1000000US500019602002123,0,0,0,0,0,0,0,0
1000000US500019603001000,167,157,0,0,3,0,0,7
1000000US500019603001001,18,18,0,0,0,0,0,0
1000000US500019603001002,257,158,65,2,0,0,16,16
1000000US500019603001003,1,0,0,0,0,0,0,1
1000000US500019603001004,0,0,0,0,0,0,0,0
1000000US500019603001005,0,0,0,0,0,0,0,0
1000000US500019603001006,41,41,0,0,0,0,0,0
1000000US500019603001007,17,15,1,0,0,0,0,1
1000000US500019603001008,0,0,0,0,0,0,0,0
1000000US500019603001009,0,0,0,0,0,0,0,0
1000000US500019603001010,0,0,0,0,0,0,0,0
